date,sex,race,age,city,suspicion,action
2012-01-01,male,black,26,Jamaica Plain,Probable Cause,stopped
2012-01-01,male,black,27,Jamaica Plain,Probable Cause,stopped
2012-01-01,male,black,23,Jamaica Plain,Probable Cause,stopped
2012-01-01,male,black,23,Roxbury,Probable Cause,stopped
2012-01-01,male,black,27,Dorchester,Probable Cause,stopped
2012-01-01,male,white,31,Boston,Probable Cause,stopped
2012-01-01,male,black,39,Mattapan,Probable Cause,observed
2012-01-01,male,black,27,West Roxbury,Probable Cause,stopped
2012-01-01,male,black,34,Roxbury,Reasonable Suspicion,stopped
2012-01-01,male,black,17,Dorchester,Probable Cause,stopped
2012-01-01,male,hispanic,19,Mattapan,Probable Cause,stopped
2012-01-01,male,black,49,Boston,Reasonable Suspicion,observed
2012-01-01,male,white,46,South Boston,Probable Cause,stopped
2012-01-01,male,black,24,Dorchester,Probable Cause,stopped
2012-01-01,male,black,24,Dorchester,Probable Cause,stopped
2012-01-01,male,white,40,Dorchester,Reasonable Suspicion,stopped
2012-01-01,male,black,31,Roxbury,Reasonable Suspicion,stopped
2012-01-01,male,black,18,Dorchester,Probable Cause,stopped
2012-01-01,male,hispanic,19,Hyde Park,Probable Cause,stopped
2012-01-01,male,black,19,Roxbury,Probable Cause,stopped
2012-01-01,male,hispanic,19,Roslindale,Probable Cause,stopped
2012-01-01,male,black,17,Dorchester,Probable Cause,stopped
2012-01-01,male,black,24,Dorchester,Probable Cause,stopped
2012-01-01,female,white,25,West Roxbury,Probable Cause,stopped
2012-01-01,female,white,23,Dorchester,Probable Cause,stopped
2012-01-02,male,hispanic,24,Boston,Probable Cause,observed
2012-01-02,male,black,54,Dorchester,Probable Cause,stopped
2012-01-02,male,black,43,Boston,Probable Cause,stopped
2012-01-02,male,black,22,Dorchester,Probable Cause,stopped
2012-01-02,female,white,32,Jamaica Plain,Reasonable Suspicion,stopped
2012-01-02,male,black,51,Boston,Reasonable Suspicion,stopped
2012-01-02,male,black,55,Boston,Reasonable Suspicion,stopped
2012-01-02,male,black,31,Roxbury,Reasonable Suspicion,stopped
2012-01-02,male,black,28,Boston,Reasonable Suspicion,stopped
2012-01-02,male,asian,42,Boston,Reasonable Suspicion,stopped
2012-01-02,male,hispanic,20,Mattapan,Reasonable Suspicion,stopped
2012-01-02,male,white,23,South Boston,Reasonable Suspicion,stopped
2012-01-02,male,black,21,Dorchester,Probable Cause,stopped
2012-01-02,male,black,27,Dorchester,Probable Cause,stopped
2012-01-02,male,white,23,East Boston,Probable Cause,observed
2012-01-02,male,black,57,Dorchester,Reasonable Suspicion,stopped
2012-01-02,male,white,21,East Boston,Probable Cause,stopped
2012-01-02,male,black,20,Roxbury,Reasonable Suspicion,observed
2012-01-02,male,black,19,Roxbury,Reasonable Suspicion,stopped
2012-01-02,male,white,20,South Boston,Probable Cause,stopped
2012-01-02,male,black,24,Dorchester,Probable Cause,stopped
2012-01-03,female,black,28,Dorchester,Reasonable Suspicion,stopped
2012-01-03,male,white,46,Dorchester,Probable Cause,stopped
2012-01-03,male,black,24,Boston,Probable Cause,stopped
2012-01-03,female,white,48,Boston,Probable Cause,stopped
2012-01-03,male,white,26,Dorchester,Reasonable Suspicion,stopped
2012-01-03,male,black,31,Roxbury,Probable Cause,stopped
