date,sex,race,age,city,suspicion,action
2011-01-01,male,white,20,Dorchester,Probable Cause,stopped
2011-01-01,male,black,32,Boston,Probable Cause,stopped
2011-01-01,female,white,24,Charlestown,Probable Cause,observed
2011-01-01,male,white,20,Dorchester,Probable Cause,stopped
2011-01-01,male,black,49,Mattapan,Probable Cause,stopped
2011-01-01,male,black,27,Dorchester,Reasonable Suspicion,stopped
2011-01-02,male,black,41,Mattapan,Reasonable Suspicion,stopped
2011-01-02,male,white,30,Boston,Probable Cause,stopped
2011-01-02,male,black,49,Boston,Reasonable Suspicion,stopped
2011-01-02,female,hispanic,26,Boston,Probable Cause,stopped
2011-01-02,male,black,38,Dorchester,Reasonable Suspicion,stopped
2011-01-02,male,black,52,Boston,Reasonable Suspicion,stopped
2011-01-02,male,black,47,Boston,Reasonable Suspicion,stopped
2011-01-02,male,black,35,Boston,Reasonable Suspicion,stopped
2011-01-02,male,white,39,East Boston,Probable Cause,stopped
2011-01-03,male,white,17,Hyde Park,Probable Cause,stopped
2011-01-03,male,black,14,Boston,Probable Cause,observed
2011-01-03,male,black,18,Dorchester,Probable Cause,stopped
2011-01-03,male,black,20,Roxbury,Probable Cause,observed
2011-01-03,female,hispanic,23,Dorchester,Probable Cause,stopped
2011-01-03,male,black,28,Dorchester,Probable Cause,observed
2011-01-03,male,black,36,Dorchester,Probable Cause,stopped
2011-01-03,male,asian,42,Dorchester,Probable Cause,stopped
2011-01-03,male,hispanic,18,Hyde Park,Probable Cause,stopped
2011-01-03,male,white,39,Dorchester,Reasonable Suspicion,stopped
2011-01-03,male,white,48,Roslindale,Reasonable Suspicion,stopped
2011-01-03,female,black,29,Boston,Reasonable Suspicion,observed
2011-01-03,male,black,18,East Boston,Probable Cause,observed
2011-01-03,male,black,19,East Boston,Probable Cause,observed
2011-01-03,male,black,41,Boston,Reasonable Suspicion,observed
2011-01-03,male,black,19,Boston,Probable Cause,stopped
2011-01-04,male,black,28,Dorchester,Probable Cause,observed
2011-01-04,male,black,39,Jamaica Plain,Probable Cause,stopped
2011-01-04,male,black,24,Dorchester,Reasonable Suspicion,stopped
2011-01-04,female,white,17,South Boston,Probable Cause,stopped
2011-01-04,male,black,20,Mattapan,Probable Cause,stopped
